"year","county","fips_code","ave_pm2_5"
"2018","Adams","001",5.6
"2018","Allen","003",5.5
"2018","Athens","009",6
"2018","Belmont","013",7.15
"2018","Butler","017",9
"2018","Clark","023",8.9
"2018","Clermont","025",6.6
"2018","Cuyahoga","035",8.2
"2018","Franklin","049",6.9
"2018","Greene","057",7.4
"2018","Hamilton","061",8.9
"2018","Harrison","067",6.05
"2018","Jefferson","081",9.7
"2018","Lake","085",6.2
"2018","Lawrence","087",6.2
"2018","Lorain","093",6.6
"2018","Lucas","095",7.45
"2018","Mahoning","099",7.3
"2018","Medina","103",7
"2018","Montgomery","113",8
"2018","Noble","121",5.2
"2018","Portage","133",6.2
"2018","Preble","135",8.2
"2018","Scioto","145",6.35
"2018","Stark","151",8.4
"2018","Summit","153",7.7
"2018","Trumbull","155",5.65
"2018","Warren","165",7.9
"2019","Adams","001",5.1
"2019","Allen","003",6.5
"2019","Athens","009",5.95
"2019","Belmont","013",8
"2019","Butler","017",9.2
"2019","Clark","023",9.2
"2019","Clermont","025",6.35
"2019","Cuyahoga","035",8.1
"2019","Franklin","049",8.2
"2019","Hamilton","061",8.8
"2019","Harrison","067",7.5
"2019","Jefferson","081",9.4
"2019","Lake","085",6.5
"2019","Lawrence","087",6.5
"2019","Lorain","093",6.2
"2019","Lucas","095",7.2
"2019","Mahoning","099",7.5
"2019","Medina","103",7.5
"2019","Montgomery","113",8.4
"2019","Noble","121",4.9
"2019","Portage","133",6.5
"2019","Preble","135",7.8
"2019","Scioto","145",6.35
"2019","Stark","151",8.6
"2019","Summit","153",7.8
"2019","Trumbull","155",6.4
"2019","Warren","165",7.8
"2020","Adams","001",7
"2020","Allen","003",5.05
"2020","Athens","009",5.55
"2020","Belmont","013",6.65
"2020","Butler","017",8.6
"2020","Clark","023",7.1
"2020","Clermont","025",5.6
"2020","Cuyahoga","035",7.7
"2020","Franklin","049",6.8
"2020","Hamilton","061",8.6
"2020","Harrison","067",6
"2020","Jefferson","081",6.4
"2020","Lake","085",6
"2020","Lawrence","087",7
"2020","Lorain","093",6
"2020","Lucas","095",7.2
"2020","Mahoning","099",7.3
"2020","Medina","103",5.75
"2020","Montgomery","113",8.8
"2020","Noble","121",4
"2020","Portage","133",6.5
"2020","Preble","135",6.9
"2020","Scioto","145",5.9
"2020","Stark","151",8
"2020","Summit","153",7.9
"2020","Trumbull","155",5.5
"2020","Warren","165",7
"2021","Allen","003",6.25
"2021","Athens","009",4.8
"2021","Belmont","013",7.1
"2021","Butler","017",9.9
"2021","Clark","023",8.7
"2021","Clermont","025",6.8
"2021","Cuyahoga","035",9
"2021","Franklin","049",7.8
"2021","Hamilton","061",8.7
"2021","Harrison","067",7.05
"2021","Jefferson","081",10.3
"2021","Lake","085",6.5
"2021","Lawrence","087",7.65
"2021","Lorain","093",6.95
"2021","Lucas","095",7.6
"2021","Mahoning","099",8.1
"2021","Medina","103",6.4
"2021","Montgomery","113",8.6
"2021","Noble","121",4.8
"2021","Portage","133",7.45
"2021","Preble","135",7.4
"2021","Scioto","145",6.2
"2021","Stark","151",8.8
"2021","Summit","153",7.5
"2021","Trumbull","155",7.5
"2021","Warren","165",7.2
