"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"39","Ohio","39001","Adams","2018","10.8%","","(10.0% - 11.6%)","10.0%","11.6%",
"39","Ohio","39001","Adams","2019","11.5%","","(10.8% - 12.3%)","10.8%","12.3%",
"39","Ohio","39001","Adams","2020","11.2%","","(10.5% - 12.0%)","10.5%","12.0%",
"39","Ohio","39001","Adams","2021","11.2%","","(9.8% - 12.7%)","9.8%","12.7%",
"39","Ohio","39003","Allen","2018","9.7%","","(9.2% - 10.3%)","9.2%","10.3%",
"39","Ohio","39003","Allen","2019","10.1%","","(9.6% - 10.6%)","9.6%","10.6%",
"39","Ohio","39003","Allen","2020","10.7%","","(10.3% - 11.3%)","10.3%","11.3%",
"39","Ohio","39003","Allen","2021","10.6%","","(9.4% - 11.9%)","9.4%","11.9%",
"39","Ohio","39005","Ashland","2018","9.8%","","(9.2% - 10.4%)","9.2%","10.4%",
"39","Ohio","39005","Ashland","2019","10.4%","","(9.8% - 11.2%)","9.8%","11.2%",
"39","Ohio","39005","Ashland","2020","10.5%","","(9.9% - 11.1%)","9.9%","11.1%",
"39","Ohio","39005","Ashland","2021","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"39","Ohio","39007","Ashtabula","2018","10.2%","","(9.6% - 10.9%)","9.6%","10.9%",
"39","Ohio","39007","Ashtabula","2019","10.9%","","(10.3% - 11.6%)","10.3%","11.6%",
"39","Ohio","39007","Ashtabula","2020","11.0%","","(10.4% - 11.6%)","10.4%","11.6%",
"39","Ohio","39007","Ashtabula","2021","10.9%","","(9.6% - 12.4%)","9.6%","12.4%",
"39","Ohio","39009","Athens","2018","10.3%","","(9.7% - 11.0%)","9.7%","11.0%",
"39","Ohio","39009","Athens","2019","10.8%","","(10.2% - 11.4%)","10.2%","11.4%",
"39","Ohio","39009","Athens","2020","11.4%","","(10.8% - 12.0%)","10.8%","12.0%",
"39","Ohio","39009","Athens","2021","11.1%","","(9.8% - 12.5%)","9.8%","12.5%",
"39","Ohio","39011","Auglaize","2018","9.2%","","(8.7% - 9.8%)","8.7%","9.8%",
"39","Ohio","39011","Auglaize","2019","10.1%","","(9.5% - 10.7%)","9.5%","10.7%",
"39","Ohio","39011","Auglaize","2020","9.9%","","(9.4% - 10.5%)","9.4%","10.5%",
"39","Ohio","39011","Auglaize","2021","9.8%","","(8.7% - 11.2%)","8.7%","11.2%",
"39","Ohio","39013","Belmont","2018","9.7%","","(9.2% - 10.4%)","9.2%","10.4%",
"39","Ohio","39013","Belmont","2019","10.1%","","(9.5% - 10.8%)","9.5%","10.8%",
"39","Ohio","39013","Belmont","2020","10.2%","","(9.7% - 10.7%)","9.7%","10.7%",
"39","Ohio","39013","Belmont","2021","10.3%","","(9.1% - 11.6%)","9.1%","11.6%",
"39","Ohio","39015","Brown","2018","10.0%","","(9.4% - 10.7%)","9.4%","10.7%",
"39","Ohio","39015","Brown","2019","10.8%","","(10.2% - 11.5%)","10.2%","11.5%",
"39","Ohio","39015","Brown","2020","10.6%","","(10.0% - 11.2%)","10.0%","11.2%",
"39","Ohio","39015","Brown","2021","10.6%","","(9.3% - 12.1%)","9.3%","12.1%",
"39","Ohio","39017","Butler","2018","9.4%","","(8.9% - 10.1%)","8.9%","10.1%",
"39","Ohio","39017","Butler","2019","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39017","Butler","2020","10.0%","","(9.5% - 10.5%)","9.5%","10.5%",
"39","Ohio","39017","Butler","2021","10.3%","","(9.1% - 11.7%)","9.1%","11.7%",
"39","Ohio","39019","Carroll","2018","9.8%","","(9.2% - 10.5%)","9.2%","10.5%",
"39","Ohio","39019","Carroll","2019","10.3%","","(9.7% - 11.0%)","9.7%","11.0%",
"39","Ohio","39019","Carroll","2020","10.3%","","(9.8% - 11.0%)","9.8%","11.0%",
"39","Ohio","39019","Carroll","2021","10.3%","","(9.1% - 11.8%)","9.1%","11.8%",
"39","Ohio","39021","Champaign","2018","9.7%","","(9.2% - 10.4%)","9.2%","10.4%",
"39","Ohio","39021","Champaign","2019","10.1%","","(9.6% - 10.8%)","9.6%","10.8%",
"39","Ohio","39021","Champaign","2020","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39021","Champaign","2021","10.4%","","(9.1% - 11.8%)","9.1%","11.8%",
"39","Ohio","39023","Clark","2018","10.5%","","(9.8% - 11.1%)","9.8%","11.1%",
"39","Ohio","39023","Clark","2019","11.1%","","(10.5% - 11.8%)","10.5%","11.8%",
"39","Ohio","39023","Clark","2020","10.9%","","(10.4% - 11.6%)","10.4%","11.6%",
"39","Ohio","39023","Clark","2021","10.9%","","(9.7% - 12.2%)","9.7%","12.2%",
"39","Ohio","39025","Clermont","2018","9.5%","","(8.9% - 10.2%)","8.9%","10.2%",
"39","Ohio","39025","Clermont","2019","9.9%","","(9.3% - 10.6%)","9.3%","10.6%",
"39","Ohio","39025","Clermont","2020","10.4%","","(9.8% - 11.0%)","9.8%","11.0%",
"39","Ohio","39025","Clermont","2021","10.1%","","(8.8% - 11.4%)","8.8%","11.4%",
"39","Ohio","39027","Clinton","2018","9.8%","","(9.2% - 10.5%)","9.2%","10.5%",
"39","Ohio","39027","Clinton","2019","10.6%","","(10.0% - 11.3%)","10.0%","11.3%",
"39","Ohio","39027","Clinton","2020","10.8%","","(10.3% - 11.4%)","10.3%","11.4%",
"39","Ohio","39027","Clinton","2021","10.7%","","(9.4% - 12.0%)","9.4%","12.0%",
"39","Ohio","39029","Columbiana","2018","10.0%","","(9.4% - 10.8%)","9.4%","10.8%",
"39","Ohio","39029","Columbiana","2019","10.3%","","(9.7% - 11.0%)","9.7%","11.0%",
"39","Ohio","39029","Columbiana","2020","10.8%","","(10.2% - 11.4%)","10.2%","11.4%",
"39","Ohio","39029","Columbiana","2021","10.4%","","(9.2% - 11.7%)","9.2%","11.7%",
"39","Ohio","39031","Coshocton","2018","10.5%","","(9.8% - 11.3%)","9.8%","11.3%",
"39","Ohio","39031","Coshocton","2019","10.6%","","(10.0% - 11.4%)","10.0%","11.4%",
"39","Ohio","39031","Coshocton","2020","10.8%","","(10.1% - 11.4%)","10.1%","11.4%",
"39","Ohio","39031","Coshocton","2021","11.2%","","(9.8% - 12.7%)","9.8%","12.7%",
"39","Ohio","39033","Crawford","2018","9.9%","","(9.4% - 10.6%)","9.4%","10.6%",
"39","Ohio","39033","Crawford","2019","10.6%","","(9.9% - 11.2%)","9.9%","11.2%",
"39","Ohio","39033","Crawford","2020","10.6%","","(10.1% - 11.2%)","10.1%","11.2%",
"39","Ohio","39033","Crawford","2021","10.7%","","(9.3% - 12.1%)","9.3%","12.1%",
"39","Ohio","39035","Cuyahoga","2018","10.2%","","(9.7% - 10.7%)","9.7%","10.7%",
"39","Ohio","39035","Cuyahoga","2019","11.1%","","(10.7% - 11.6%)","10.7%","11.6%",
"39","Ohio","39035","Cuyahoga","2020","10.7%","","(10.2% - 11.2%)","10.2%","11.2%",
"39","Ohio","39035","Cuyahoga","2021","10.7%","","(9.6% - 12.0%)","9.6%","12.0%",
"39","Ohio","39037","Darke","2018","9.7%","","(9.1% - 10.4%)","9.1%","10.4%",
"39","Ohio","39037","Darke","2019","10.1%","","(9.6% - 10.8%)","9.6%","10.8%",
"39","Ohio","39037","Darke","2020","10.4%","","(9.9% - 11.1%)","9.9%","11.1%",
"39","Ohio","39037","Darke","2021","10.4%","","(9.1% - 11.7%)","9.1%","11.7%",
"39","Ohio","39039","Defiance","2018","9.4%","","(8.9% - 10.0%)","8.9%","10.0%",
"39","Ohio","39039","Defiance","2019","9.9%","","(9.4% - 10.5%)","9.4%","10.5%",
"39","Ohio","39039","Defiance","2020","10.0%","","(9.5% - 10.6%)","9.5%","10.6%",
"39","Ohio","39039","Defiance","2021","10.2%","","(8.9% - 11.4%)","8.9%","11.4%",
"39","Ohio","39041","Delaware","2018","8.6%","","(8.1% - 9.1%)","8.1%","9.1%",
"39","Ohio","39041","Delaware","2019","8.6%","","(8.1% - 9.1%)","8.1%","9.1%",
"39","Ohio","39041","Delaware","2020","9.3%","","(8.8% - 9.7%)","8.8%","9.7%",
"39","Ohio","39041","Delaware","2021","9.0%","","(8.0% - 10.2%)","8.0%","10.2%",
"39","Ohio","39043","Erie","2018","9.6%","","(9.1% - 10.1%)","9.1%","10.1%",
"39","Ohio","39043","Erie","2019","10.0%","","(9.4% - 10.5%)","9.4%","10.5%",
"39","Ohio","39043","Erie","2020","10.3%","","(9.8% - 10.8%)","9.8%","10.8%",
"39","Ohio","39043","Erie","2021","10.4%","","(9.2% - 11.8%)","9.2%","11.8%",
"39","Ohio","39045","Fairfield","2018","9.4%","","(8.9% - 10.1%)","8.9%","10.1%",
"39","Ohio","39045","Fairfield","2019","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39045","Fairfield","2020","10.1%","","(9.6% - 10.6%)","9.6%","10.6%",
"39","Ohio","39045","Fairfield","2021","10.2%","","(8.9% - 11.5%)","8.9%","11.5%",
"39","Ohio","39047","Fayette","2018","10.2%","","(9.5% - 10.9%)","9.5%","10.9%",
"39","Ohio","39047","Fayette","2019","10.9%","","(10.3% - 11.8%)","10.3%","11.8%",
"39","Ohio","39047","Fayette","2020","11.0%","","(10.4% - 11.6%)","10.4%","11.6%",
"39","Ohio","39047","Fayette","2021","11.0%","","(9.6% - 12.4%)","9.6%","12.4%",
"39","Ohio","39049","Franklin","2018","9.1%","","(8.7% - 9.6%)","8.7%","9.6%",
"39","Ohio","39049","Franklin","2019","9.9%","","(9.5% - 10.4%)","9.5%","10.4%",
"39","Ohio","39049","Franklin","2020","10.3%","","(9.9% - 10.8%)","9.9%","10.8%",
"39","Ohio","39049","Franklin","2021","10.2%","","(9.1% - 11.3%)","9.1%","11.3%",
