"state_fips","state","county_fips","county","year","value","data_comment","x95_confidence_interval","confidence_interval_low","confidence_interval_high","x","fips_code"
39,"Ohio",39001,"Adams",2018,"10.8%",NA,"(10.0% - 11.6%)","10.0%","11.6%",NA,"001"
39,"Ohio",39001,"Adams",2019,"11.5%",NA,"(10.8% - 12.3%)","10.8%","12.3%",NA,"001"
39,"Ohio",39001,"Adams",2020,"11.2%",NA,"(10.5% - 12.0%)","10.5%","12.0%",NA,"001"
39,"Ohio",39001,"Adams",2021,"11.2%",NA,"(9.8% - 12.7%)","9.8%","12.7%",NA,"001"
39,"Ohio",39003,"Allen",2018,"9.7%",NA,"(9.2% - 10.3%)","9.2%","10.3%",NA,"003"
39,"Ohio",39003,"Allen",2019,"10.1%",NA,"(9.6% - 10.6%)","9.6%","10.6%",NA,"003"
39,"Ohio",39003,"Allen",2020,"10.7%",NA,"(10.3% - 11.3%)","10.3%","11.3%",NA,"003"
39,"Ohio",39003,"Allen",2021,"10.6%",NA,"(9.4% - 11.9%)","9.4%","11.9%",NA,"003"
39,"Ohio",39009,"Athens",2018,"10.3%",NA,"(9.7% - 11.0%)","9.7%","11.0%",NA,"009"
39,"Ohio",39009,"Athens",2019,"10.8%",NA,"(10.2% - 11.4%)","10.2%","11.4%",NA,"009"
39,"Ohio",39009,"Athens",2020,"11.4%",NA,"(10.8% - 12.0%)","10.8%","12.0%",NA,"009"
39,"Ohio",39009,"Athens",2021,"11.1%",NA,"(9.8% - 12.5%)","9.8%","12.5%",NA,"009"
39,"Ohio",39013,"Belmont",2018,"9.7%",NA,"(9.2% - 10.4%)","9.2%","10.4%",NA,"013"
39,"Ohio",39013,"Belmont",2019,"10.1%",NA,"(9.5% - 10.8%)","9.5%","10.8%",NA,"013"
39,"Ohio",39013,"Belmont",2020,"10.2%",NA,"(9.7% - 10.7%)","9.7%","10.7%",NA,"013"
39,"Ohio",39013,"Belmont",2021,"10.3%",NA,"(9.1% - 11.6%)","9.1%","11.6%",NA,"013"
39,"Ohio",39017,"Butler",2018,"9.4%",NA,"(8.9% - 10.1%)","8.9%","10.1%",NA,"017"
39,"Ohio",39017,"Butler",2019,"10.2%",NA,"(9.7% - 10.8%)","9.7%","10.8%",NA,"017"
39,"Ohio",39017,"Butler",2020,"10.0%",NA,"(9.5% - 10.5%)","9.5%","10.5%",NA,"017"
39,"Ohio",39017,"Butler",2021,"10.3%",NA,"(9.1% - 11.7%)","9.1%","11.7%",NA,"017"
39,"Ohio",39023,"Clark",2018,"10.5%",NA,"(9.8% - 11.1%)","9.8%","11.1%",NA,"023"
39,"Ohio",39023,"Clark",2019,"11.1%",NA,"(10.5% - 11.8%)","10.5%","11.8%",NA,"023"
39,"Ohio",39023,"Clark",2020,"10.9%",NA,"(10.4% - 11.6%)","10.4%","11.6%",NA,"023"
39,"Ohio",39023,"Clark",2021,"10.9%",NA,"(9.7% - 12.2%)","9.7%","12.2%",NA,"023"
39,"Ohio",39025,"Clermont",2018,"9.5%",NA,"(8.9% - 10.2%)","8.9%","10.2%",NA,"025"
39,"Ohio",39025,"Clermont",2019,"9.9%",NA,"(9.3% - 10.6%)","9.3%","10.6%",NA,"025"
39,"Ohio",39025,"Clermont",2020,"10.4%",NA,"(9.8% - 11.0%)","9.8%","11.0%",NA,"025"
39,"Ohio",39025,"Clermont",2021,"10.1%",NA,"(8.8% - 11.4%)","8.8%","11.4%",NA,"025"
39,"Ohio",39035,"Cuyahoga",2018,"10.2%",NA,"(9.7% - 10.7%)","9.7%","10.7%",NA,"035"
39,"Ohio",39035,"Cuyahoga",2019,"11.1%",NA,"(10.7% - 11.6%)","10.7%","11.6%",NA,"035"
39,"Ohio",39035,"Cuyahoga",2020,"10.7%",NA,"(10.2% - 11.2%)","10.2%","11.2%",NA,"035"
39,"Ohio",39035,"Cuyahoga",2021,"10.7%",NA,"(9.6% - 12.0%)","9.6%","12.0%",NA,"035"
39,"Ohio",39049,"Franklin",2018,"9.1%",NA,"(8.7% - 9.6%)","8.7%","9.6%",NA,"049"
39,"Ohio",39049,"Franklin",2019,"9.9%",NA,"(9.5% - 10.4%)","9.5%","10.4%",NA,"049"
39,"Ohio",39049,"Franklin",2020,"10.3%",NA,"(9.9% - 10.8%)","9.9%","10.8%",NA,"049"
39,"Ohio",39049,"Franklin",2021,"10.2%",NA,"(9.1% - 11.3%)","9.1%","11.3%",NA,"049"
39,"Ohio",39057,"Greene",2018,"9.1%",NA,"(8.6% - 9.6%)","8.6%","9.6%",NA,"057"
39,"Ohio",39057,"Greene",2019,"10.2%",NA,"(9.7% - 10.8%)","9.7%","10.8%",NA,"057"
39,"Ohio",39057,"Greene",2020,"9.8%",NA,"(9.4% - 10.3%)","9.4%","10.3%",NA,"057"
39,"Ohio",39057,"Greene",2021,"10.1%",NA,"(8.9% - 11.3%)","8.9%","11.3%",NA,"057"
39,"Ohio",39061,"Hamilton",2018,"10.0%",NA,"(9.5% - 10.6%)","9.5%","10.6%",NA,"061"
39,"Ohio",39061,"Hamilton",2019,"10.1%",NA,"(9.7% - 10.6%)","9.7%","10.6%",NA,"061"
